Antrenor;Toplam;Birinci;Ikinci;Ucuncu;Kazanma_Yuzde;Ilk3_Yuzde
T.TÜRKMEN;50;13;8;7;26.0;56.0
HÜS.KAYA;49;7;6;1;14.29;28.57
A.N.HINÇ;49;6;4;4;12.24;28.57
Ü.BULUT;49;5;3;6;10.2;28.57
V.AKBAŞ;48;5;5;2;10.42;25.0
M.AKKILIÇ;48;5;5;3;10.42;27.08
T.ÖZTÜRK TİMUR;48;8;4;1;16.67;27.08
U.DEMİR;48;6;3;3;12.5;25.0
Y.ÇANKAYA;48;2;4;4;4.17;20.83
Y.ARİ;48;7;4;5;14.58;33.33
Y.DEMİR;48;11;5;7;22.92;47.92
AH.KORKMAZ;48;1;7;4;2.08;25.0
D.AKBULUT;48;5;7;4;10.42;33.33
FERH.ALTIN;47;8;2;5;17.02;31.91
L.ÖZMERGEN;47;1;2;3;2.13;12.77
İ.KARADAĞ;47;5;5;6;10.64;34.04
ALİ ÇİZİK;47;5;5;9;10.64;40.43
B.KAÇMAZ;46;5;5;6;10.87;34.78
R.DEMİRDOĞAN;46;3;5;8;6.52;34.78
A.İPEK;46;1;0;1;2.17;4.35
Y.K.GÜRSOY;46;7;9;4;15.22;43.48
Ü.BÖLEK;46;1;2;7;2.17;21.74
M.GÜDÜCÜ;46;6;6;5;13.04;36.96
R.KARABAŞ;46;7;9;6;15.22;47.83
B.EROĞLU;46;5;4;8;10.87;36.96
MEHMET DEMİR;46;8;8;4;17.39;43.48
AYC.POLAT;46;6;5;2;13.04;28.26
H.DOLMAZ;45;1;2;4;2.22;15.56
İ.E.KURAL;45;1;2;0;2.22;6.67
A.ŞIVGIN;45;4;3;4;8.89;24.44
D.SAV;44;4;3;5;9.09;27.27
G.TOPKAYA;44;2;1;1;4.55;9.09
İ.Ş.ÜÇÜNCÜOĞLU;44;3;2;4;6.82;20.45
C.ÇİÇEK;44;1;5;5;2.27;25.0
S.CAN GÖZÜNGÜ;44;3;4;2;6.82;20.45
E.ALTIN;43;3;3;10;6.98;37.21
K.ŞENTÜRK;43;8;2;7;18.6;39.53
İ.CANPOLAT;43;4;3;8;9.3;34.88
E.ÇİZİK;43;8;3;2;18.6;30.23
M.KURDU;43;6;8;1;13.95;34.88
M.ÇAM;43;3;2;3;6.98;18.6
B.ŞENGEL;43;3;2;0;6.98;11.63
ON. ÖZELCANAT;43;3;6;5;6.98;32.56
E.KARAKÖLEOĞLU;42;7;7;4;16.67;42.86
A.BOZKURT;42;3;3;4;7.14;23.81
G.TOKLU;42;16;7;3;38.1;61.9
MUR.ESİN;42;1;3;6;2.38;23.81
Ş.BAYKAL;41;2;3;5;4.88;24.39
R.YILDIZ;41;13;0;10;31.71;56.1
ON.ÖZELCANAT;41;11;4;6;26.83;51.22
T.PELEN;41;3;4;4;7.32;26.83
A.ZENGİN;40;0;2;5;0.0;17.5
B.ÇAPKIN;40;6;4;4;15.0;35.0
G.ER;40;3;8;1;7.5;30.0
S.ÖZGEZER;40;4;8;8;10.0;50.0
E.YILDIRIM;39;5;7;2;12.82;35.9
Y.TEKİNALP;39;6;4;6;15.38;41.03
ÇET.ARSLAN;38;5;1;3;13.16;23.68
H.R.YEŞİLBUDAK;38;4;1;3;10.53;21.05
RE.ARSLAN;38;3;4;1;7.89;21.05
K.MELİKE;38;1;3;0;2.63;10.53
SEV.BEKTAŞ;38;1;3;4;2.63;21.05
M.ARICI;38;6;5;5;15.79;42.11
B. İLVAN;38;1;5;7;2.63;34.21
V.ÇİZİK;38;4;1;4;10.53;23.68
SER.DOĞAN;37;2;2;6;5.41;27.03
S.DURGUÇ;37;2;2;6;5.41;27.03
E.ERGÜNAY;37;3;2;5;8.11;27.03
T.TAHTA;36;2;7;11;5.56;55.56
İ.KIZILDAĞ;36;1;2;3;2.78;16.67
L.BERKOL;36;3;4;2;8.33;25.0
M.TEKPETEK;36;5;1;2;13.89;22.22
ŞAFAK GÜMÜŞ;36;7;4;3;19.44;38.89
Ş.ÖZGÜR;35;1;5;4;2.86;28.57
Ö.ALAÇAM;35;3;5;9;8.57;48.57
T.TEMİZER;35;3;3;5;8.57;31.43
A.ŞEKER;35;5;5;7;14.29;48.57
Ü.AYBOĞA;35;1;3;0;2.86;11.43
M.AKKUŞ;34;2;2;4;5.88;23.53
T.SAYILKAN;34;5;3;4;14.71;35.29
A.BİRDAL;34;6;2;6;17.65;41.18
M.ŞEFİK KILINÇ;34;11;7;3;32.35;61.76
M.KILIÇSEREN;33;4;3;1;12.12;24.24
S.KERESTECİ;33;1;4;2;3.03;21.21
